序号,视频编码(BV号),视频标题,发布时间,播放量,时长,分区,合集/系列,视频链接
207,BV1Cb4y197EZ,【主义主义】合理主义（2-1-3）——毕达哥拉斯的伟大，不止是“万物皆数”，而是人类理智史上的奇迹,2021-03-20,48098,57:39,人文历史,,https://www.bilibili.com/video/BV1Cb4y197EZ
208,BV1Gh411X7bK,【主义主义】反应多元论（2-1-3-1）——要有多蠢，才会把恩培多克勒理解为四元素说,2021-03-22,30753,70:04,人文历史,,https://www.bilibili.com/video/BV1Gh411X7bK
209,BV1zy4y147Q2,【主义主义】贫乏的原子论（2-1-3-2）——太一分形，虚空降世，德谟克利特的笑与瞎,2021-03-22,30919,54:34,人文历史,,https://www.bilibili.com/video/BV1zy4y147Q2
211,BV1jZ4y1A7yC,【主义主义】智性享乐主义（2-1-3-3）——伊壁鸠鲁的哲学：降服欲望、坦然面对死亡,2021-03-23,53842,41:20,人文历史,,https://www.bilibili.com/video/BV1jZ4y1A7yC
212,BV1gK4y1S7aZ,【主义主义】犬儒主义（2-1-3-4）——真正的犬儒主义=极致的理性主义。安提斯泰尼与第欧根尼，苏格拉底的另类师徒孙,2021-03-24,65728,43:15,人文历史,,https://www.bilibili.com/video/BV1gK4y1S7aZ
215,BV1qi4y1P7Pt,【主义主义】绝对主义（2-1-4）——普罗泰格拉：“人是万物的尺度”，为什么是绝对主义，而不是相对主义？,2021-03-25,34934,27:47,人文历史,,https://www.bilibili.com/video/BV1qi4y1P7Pt
216,BV1ty4y1h7w9,【主义主义】相对主义（2-1-4-1）——学会高尔吉亚的修辞学与辩护术，所有的辩论赛不过是游戏,2021-03-26,49995,50:42,人文历史,,https://www.bilibili.com/video/BV1ty4y1h7w9
218,BV11K4y127B3,【主义主义】怀疑主义（2-1-4-2）——皮浪的哲学，智力英雄必备技能：探求“不动心”的平衡游戏；君主、辅臣、将领、幕僚的必修课,2021-03-28,48014,49:05,人文历史,,https://www.bilibili.com/video/BV11K4y127B3
219,BV1ZB4y1A7aC,【主义主义】记忆主义（2-1-4-3）——记忆术+雄辩术；希庇亚的哲学：捕捉、保存、创造无限,2021-03-29,35887,63:56,人文历史,,https://www.bilibili.com/video/BV1ZB4y1A7aC
220,BV1ZX4y137kR,【主义主义】话语主义（2-1-4-4）——在场形而上学的终结，对真理的解构性把握，最早的精神分析师：安提丰,2021-03-30,78757,46:37,人文历史,,https://www.bilibili.com/video/BV1ZX4y137kR
223,BV1wU4y1Y7kJ,【主义主义】辩证形而上学（2-2）——把握时间、把握虚无、把握否定性的存在,2021-03-31,40773,25:12,人文历史,,https://www.bilibili.com/video/BV1wU4y1Y7kJ
224,BV1TK4y1m7BH,【主义主义】无限主义（2-2-1）——唯有时间无限，大雄与释迦的觉醒中包含的全新形而上学,2021-04-01,52055,59:08,人文历史,,https://www.bilibili.com/video/BV1TK4y1m7BH
225,BV1Mp4y187Ym,【主义主义】分子业力学（2-2-1-1）——耆那教和原始佛教关于业力、意识、轮回与解脱的纵向形而上学；看完不用吃罗汉果,2021-04-01,57781,54:35,人文历史,,https://www.bilibili.com/video/BV1Mp4y187Ym
227,BV1kU4y187RS,【主义主义】永恒时态主义（2-2-1-2）——时间相位转移的形而上学：小乘有宗“说一切有部”,2021-04-03,37331,66:02,人文历史,,https://www.bilibili.com/video/BV1kU4y187RS
229,BV1Z5411w7wu,【主义主义】经量部的种子形而上学（2-2-1-3）——乔达摩·悉达多哲学的饮鸩止渴,2021-04-04,42500,95:39,人文历史,,https://www.bilibili.com/video/BV1Z5411w7wu
230,BV1mZ4y1F7hG,【主义主义】摩尔唯心主义（2-2-1-4）——唯识论的回光返照，阿赖耶的千古悲歌,2021-04-05,51650,94:05,人文历史,,https://www.bilibili.com/video/BV1mZ4y1F7hG
231,BV1Ei4y1N712,【主义主义番外篇】佛教哲学与道家哲学的根本差别（从2-2-1到2-2-2）：为什么佛教哲学是一种在场形而上学残余,2021-04-05,94991,37:33,人文历史,,https://www.bilibili.com/video/BV1Ei4y1N712
232,BV19v41187KL,【主义主义】否定主义（2-2-2）——道家哲学的至高法要：太一生水,2021-04-06,97114,78:48,人文历史,,https://www.bilibili.com/video/BV19v41187KL
